,Title,Class,,,Classes,Genre,Count,Percentage
0,Leaving Caladan,5,,,0,Mostly Talking,63,6%
1,Kiss of Death,1,,,1,Altrock,278,28%
2,"Voracity (From ""Overlord III"")",3,,,2,Metal,227,23%
3,Gypsy,3,,,3,Otacore,184,19%
4,"Get Jinxed (From ""League of Legends"")",0,,,4,Pop,155,16%
5,Fire and Ice (Todoroki Rap) [feat. OzzaWorld],3,,,5,Insturmental,34,3%
6,Zone (Karma Rap) [feat. Shwabadi],2,,,6,Vocals,38,4%
7,Go Get Kazuma,2,,,,,979,100%
8,UwU Metal,4,,,,,,
9,Sweet Dreams Are Made of Weebs,0,,,,,,
10,"The Whole ""Being Dead"" Thing",1,,,,,,
11,Rainbows in the Dark,1,,,,,,
12,The Engineers' Drinking Song,0,,,"0,5,6 should be one cluster probably�",,,
13,Hardstuck,0,,,,,,
14,Song of the Seven,6,,,,,,
15,Stronger Than You [Remastered] - Sans Version,3,,,,,,
16,What's the Use of Feeling (Blue)? [feat. Patti LuPone & Deedee Magno Hall],6,,,,,,
17,What Can I Do (For You) [feat. Susan Egan & Tom Scharpling],2,,,,,,
18,"Bardic Inspiration (From ""1 For All"")",6,,,,,,
19,Lose (No Game No Life),3,,,,,,
20,Queen of Faiya,3,,,,,,
21,This Is War 6,4,,,,,,
22,"This Is War 5 - This Is Wardles (feat. Falconshield, LilyPichu, Jaynee, The Yordles, Rawb, Popushi & Nicki Taylor)",4,,,,,,
23,Mediocre Rap Battle of the LEC (Summer Playoffs 2020),3,,,,,,
24,Mediocre Rap Battle of the LEC (Summer Playoffs 2021),3,,,,,,
25,Insane,1,,,,,,
26,House of Asmodeus,2,,,,,,
27,UNDERWORLD,3,,,,,,
28,"Kick Back (From ""Chainsaw Man"") - English Version",3,,,,,,
29,Memories of a Girl I Haven't Met,3,,,,,,
30,ANTI-HERO,3,,,,,,
31,Heroes in Time,4,,,,,,
32,RISE,1,,,,,,
33,Massive Addictive,2,,,,,,
34,Take Me to Church,1,,,,,,
35,The Seven Sisters,2,,,,,,
36,Unshakeable,3,,,,,,
37,So Long Sentiment,4,,,,,,
38,Ashen Of The Ending Flame,5,,,,,,
39,Rock the Night Away,2,,,,,,
40,Children of Night,3,,,,,,
41,As They Bloom,3,,,,,,
42,Death To The King,1,,,,,,
43,Lights,4,,,,,,
44,Great at Crime,2,,,,,,
45,Father,1,,,,,,
46,Kiss Goodnight,2,,,,,,
47,Cinema,4,,,,,,
48,What Makes You Beautiful,3,,,,,,
49,JoJo's Theme (Doom Version),5,,,,,,
50,Barbie Girl - Goth Metal Version,1,,,,,,
51,Upgrade (Cyberpunk: Edgerunners),1,,,,,,
52,One-Winged Angel of Death,4,,,,,,
53,Terrestrial Sacrifice of Nyazathoth,3,,,,,,
54,They Don't Care About Us (Cyberpunk),4,,,,,,
55,Blind Lead the Blind,4,,,,,,
56,Shiny,1,,,,,,
57,Smite And Ignite,4,,,,,,
58,Kingslayer,5,,,,,,
59,Blue Moon,3,,,,,,
60,Do It All The Time,4,,,,,,
61,CHOKE (with grandson & Zero 9:36),2,,,,,,
62,Destroy All,3,,,,,,
63,Dollhouse,1,,,,,,
64,End of an Empire,2,,,,,,
65,A Matter of Time - Single Edit,4,,,,,,
66,Up All Night,1,,,,,,
67,Playtime,2,,,,,,
68,Wannabe,1,,,,,,
69,Hazy Skyscraper,1,,,,,,
70,dark hour,6,,,,,,
71,take the bait,3,,,,,,
72,Frame of Mind,3,,,,,,
73,Angry Too,2,,,,,,
74,Endgame,2,,,,,,
75,Pop Cult Crucifixion,4,,,,,,
76,Endgame (The Winter Cavalry Remix),4,,,,,,
77,killer queen,1,,,,,,
78,Holy Homicide,3,,,,,,
79,"wanting, getting, wanting",3,,,,,,
80,fake ass gold,4,,,,,,
81,Breakdown,1,,,,,,
82,Stick Up,4,,,,,,
83,Make ’Em Afraid,1,,,,,,
84,Deal With the Devil,3,,,,,,
85,Heavy Metal Never Dies - Remixed & Remastered,1,,,,,,
86,Stormtroopers,2,,,,,,
87,Simping For The Villain,4,,,,,,
88,Ətˈæk 0n Tάɪtn,2,,,,,,
89,DRAIN,2,,,,,,
90,Dreadnought,4,,,,,,
91,Red,1,,,,,,
92,Villain Vibes (feat. Mori Calliope),4,,,,,,
93,Bask In The Shimmer,2,,,,,,
94,Off With Their Heads,4,,,,,,
95,Beauty Of Annihilation,2,,,,,,
96,Dissolve,3,,,,,,
97,Decryption,2,,,,,,
98,Helix,2,,,,,,
99,Begging To Bleed,1,,,,,,
100,Awaken,4,,,,,,
101,Akira,2,,,,,,
102,Nightmare Weaver,1,,,,,,
103,ilomilo,6,,,,,,
104,PS5 (with TOMORROW X TOGETHER & Alan Walker),1,,,,,,
105,"Love Dramatic (From ""Kaguya-Sama: Love Is War"")",1,,,,,,
106,Killer,3,,,,,,
107,Succubus,4,,,,,,
108,I Got The Juice,1,,,,,,
109,All Eyes on You,1,,,,,,
110,Nothing To Forgive,1,,,,,,
111,My Spring Your Fall,4,,,,,,
112,Tentakill (feat. Nicki Taylor),3,,,,,,
113,Celestial,3,,,,,,
114,Angels Painted Red,1,,,,,,
115,Kingdoms Fall,1,,,,,,
116,The Call,5,,,,,,
117,Not Even Halfway Up,3,,,,,,
118,Masquerade,4,,,,,,
119,Until This City's Burning,1,,,,,,
120,Everybody Knows,2,,,,,,
121,SCREAM,2,,,,,,
122,Old Money,2,,,,,,
123,We Rise,1,,,,,,
124,Party Like Its 1920,4,,,,,,
125,Poker Face,3,,,,,,
126,Just Dance,1,,,,,,
127,Bad Romance,3,,,,,,
128,Fire Drill,2,,,,,,
129,Stasis,4,,,,,,
130,Samsara,3,,,,,,
131,Till Death Do Me Part,4,,,,,,
132,Roentgen,3,,,,,,
133,Victim of Yourself,2,,,,,,
134,Powerful,4,,,,,,
135,Feed the Machine,1,,,,,,
136,The Rumbling,1,,,,,,
137,Misty Mountains,6,,,,,,
138,All Hallows,4,,,,,,
139,Black Roses (4everfreebrony Remix),3,,,,,,
140,Let It All Burn,1,,,,,,
141,Blood (Alucard Rap),2,,,,,,
142,Crown,1,,,,,,
143,Broken,1,,,,,,
144,Red Water Dreams,2,,,,,,
145,The Rumbling,1,,,,,,
146,Gasoline,4,,,,,,
147,Long Drive,5,,,,,,
148,At Eternal's Gate,0,,,,,,
149,Skeleton,1,,,,,,
150,Teeth,2,,,,,,
151,Crack the Sky,2,,,,,,
152,L_st-_N-D_ta (Destabilize Pt. 2) [feat. Vylet],2,,,,,,
153,Addict (Pop Goes Metal Cover),3,,,,,,
154,Glitter & Gold,2,,,,,,
155,Warbringer,1,,,,,,
156,Empire of Steel,1,,,,,,
157,Midnight Madonna,1,,,,,,
158,Dead Man Walking,3,,,,,,
159,The Saint And The Sinner,2,,,,,,
160,"In Hell We Live, Lament",4,,,,,,
161,Godhunter,1,,,,,,
162,Pretty Rave Girl,1,,,,,,
163,Destroyer - Soul Extract Remix,4,,,,,,
164,Project Terraform - Entropy Zero Remix,0,,,,,,
165,No Time To Die,1,,,,,,
166,Guns for Hire (from the series Arcane League of Legends),1,,,,,,
167,Misfit Toys (from the series Arcane League of Legends),3,,,,,,
168,Playground (from the series Arcane League of Legends),2,,,,,,
169,Goodbye (from the series Arcane League of Legends),6,,,,,,
170,Snakes (from the series Arcane League of Legends),1,,,,,,
171,Dynasties and Dystopia (from the series Arcane League of Legends),3,,,,,,
172,Dirty Little Animals (from the series Arcane League of Legends),1,,,,,,
173,What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),6,,,,,,
174,Get Jinxed,1,,,,,,
175,Specter,3,,,,,,
176,Kinesis,4,,,,,,
177,Centigrade,3,,,,,,
178,Christmas Truce,4,,,,,,
179,To Villains,5,,,,,,
180,Legends Never Die,1,,,,,,
181,Bene Gesserit,0,,,,,,
182,Enemy (with JID) - from the series Arcane League of Legends,4,,,,,,
183,DEVOLUTION,2,,,,,,
184,Evil Morty Theme (For The Damaged Coda) - Epic Version,5,,,,,,
185,Death Dealer,3,,,,,,
186,Carrier Signal,4,,,,,,
187,Solid State,4,,,,,,
188,Legion,3,,,,,,
189,Interstellar Skies,1,,,,,,
190,Damage Done,4,,,,,,
191,Exploit,1,,,,,,
192,"Butterfly (From ""Dance Dance Revolution"")",2,,,,,,
193,Leaving Heaven (feat. Skylar Grey),1,,,,,,
