,Title,Class,,,,,Count,Percentage
0,Leaving Caladan,0,,,0,Instrumental,34,3%
1,Kiss of Death,8,,,1,Metal / Rock,155,16%
2,"Voracity (From ""Overlord III"")",3,,,2,Alternative,161,16%
3,Gypsy,3,,,3,Rock,184,19%
4,"Get Jinxed (From ""League of Legends"")",4,,,4,Heavy Vocals,26,3%
5,Fire and Ice (Todoroki Rap) [feat. OzzaWorld],3,,,5,Party Music,132,13%
6,Zone (Karma Rap) [feat. Shwabadi],9,,,6,Sad Songs,38,4%
7,Go Get Kazuma,5,,,7,Acappella,37,4%
8,UwU Metal,1,,,8,Metal,117,12%
9,Sweet Dreams Are Made of Weebs,7,,,9,Pop,95,10%
10,"The Whole ""Being Dead"" Thing",2,,,,,,
11,Rainbows in the Dark,2,,,,,,
12,The Engineers' Drinking Song,7,,,,,,
13,Hardstuck,7,,,,,,
14,Song of the Seven,6,,,,,,
15,Stronger Than You [Remastered] - Sans Version,3,,,,,,
16,What's the Use of Feeling (Blue)? [feat. Patti LuPone & Deedee Magno Hall],6,,,,,,
17,What Can I Do (For You) [feat. Susan Egan & Tom Scharpling],5,,,,,,
18,"Bardic Inspiration (From ""1 For All"")",6,,,,,,
19,Lose (No Game No Life),3,,,,,,
20,Queen of Faiya,3,,,,,,
21,This Is War 6,1,,,,,,
22,"This Is War 5 - This Is Wardles (feat. Falconshield, LilyPichu, Jaynee, The Yordles, Rawb, Popushi & Nicki Taylor)",1,,,,,,
23,Mediocre Rap Battle of the LEC (Summer Playoffs 2020),3,,,,,,
24,Mediocre Rap Battle of the LEC (Summer Playoffs 2021),3,,,,,,
25,Insane,2,,,,,,
26,House of Asmodeus,5,,,,,,
27,UNDERWORLD,3,,,,,,
28,"Kick Back (From ""Chainsaw Man"") - English Version",3,,,,,,
29,Memories of a Girl I Haven't Met,3,,,,,,
30,ANTI-HERO,3,,,,,,
31,Heroes in Time,1,,,,,,
32,RISE,8,,,,,,
33,Massive Addictive,9,,,,,,
34,Take Me to Church,2,,,,,,
35,The Seven Sisters,5,,,,,,
36,Unshakeable,3,,,,,,
37,So Long Sentiment,1,,,,,,
38,Ashen Of The Ending Flame,0,,,,,,
39,Rock the Night Away,9,,,,,,
40,Children of Night,3,,,,,,
41,As They Bloom,3,,,,,,
42,Death To The King,2,,,,,,
43,Lights,1,,,,,,
44,Great at Crime,9,,,,,,
45,Father,8,,,,,,
46,Kiss Goodnight,5,,,,,,
47,Cinema,1,,,,,,
48,What Makes You Beautiful,3,,,,,,
49,JoJo's Theme (Doom Version),0,,,,,,
50,Barbie Girl - Goth Metal Version,2,,,,,,
51,Upgrade (Cyberpunk: Edgerunners),2,,,,,,
52,One-Winged Angel of Death,1,,,,,,
53,Terrestrial Sacrifice of Nyazathoth,3,,,,,,
54,They Don't Care About Us (Cyberpunk),1,,,,,,
55,Blind Lead the Blind,1,,,,,,
56,Shiny,8,,,,,,
57,Smite And Ignite,1,,,,,,
58,Kingslayer,0,,,,,,
59,Blue Moon,3,,,,,,
60,Do It All The Time,1,,,,,,
61,CHOKE (with grandson & Zero 9:36),5,,,,,,
62,Destroy All,3,,,,,,
63,Dollhouse,2,,,,,,
64,End of an Empire,5,,,,,,
65,A Matter of Time - Single Edit,1,,,,,,
66,Up All Night,2,,,,,,
67,Playtime,5,,,,,,
68,Wannabe,2,,,,,,
69,Hazy Skyscraper,2,,,,,,
70,dark hour,6,,,,,,
71,take the bait,3,,,,,,
72,Frame of Mind,3,,,,,,
73,Angry Too,9,,,,,,
74,Endgame,5,,,,,,
75,Pop Cult Crucifixion,1,,,,,,
76,Endgame (The Winter Cavalry Remix),1,,,,,,
77,killer queen,2,,,,,,
78,Holy Homicide,3,,,,,,
79,"wanting, getting, wanting",3,,,,,,
80,fake ass gold,1,,,,,,
81,Breakdown,2,,,,,,
82,Stick Up,1,,,,,,
