,Title,Class,,,Class,,Count,Percentage
0,Kamikaze,1,,,0,,121,57%
1,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",0,,,1,,90,43%
2,Back In Time,0,,,,,,
3,You Make My Dreams (Come True),0,,,,,,
4,The Less I Know The Better,0,,,,,,
5,Sucker,1,,,,,,
6,Sunflower - Spider-Man: Into the Spider-Verse,0,,,,,,
7,Stronger,1,,,,,,
8,Superstition,0,,,,,,
9,Knock Me Out,1,,,,,,
10,Rocket Man,0,,,,,,
11,Blown,0,,,,,,
12,Toothbrush,0,,,,,,
13,The Thrill,1,,,,,,
14,Please Mr. Postman - Stereo Version,0,,,,,,
15,Painkiller,0,,,,,,
16,Not Thinkin' Bout You,1,,,,,,
17,Younger,1,,,,,,
18,Personal,0,,,,,,
19,Youngblood,1,,,,,,
20,Feel It Still,1,,,,,,
21,Hooked On A Feeling,0,,,,,,
22,Marvin Gaye (feat. Meghan Trainor),1,,,,,,
23,Burn the House Down,0,,,,,,
24,Close,1,,,,,,
25,Enemy Fire,1,,,,,,
26,Follow God,0,,,,,,
27,On God,1,,,,,,
28,Take Me to Church,1,,,,,,
29,Fly Me To The Moon (In Other Words),0,,,,,,
30,That's Life,1,,,,,,
31,Sweet but Psycho,0,,,,,,
32,Voilà,0,,,,,,
33,Love Me Less (feat. Quinn XCII),1,,,,,,
34,ROXANNE,1,,,,,,
35,Trampoline,1,,,,,,
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),1,,,,,,
37,Wow.,1,,,,,,
38,Young Dumb & Broke,0,,,,,,
39,Eastside (with Halsey & Khalid),1,,,,,,
40,Run for Me - Edit,1,,,,,,
41,3 Nights,1,,,,,,
42,Sunday Best,0,,,,,,
43,Circles,0,,,,,,
44,Unbelievable,0,,,,,,
45,Easier,0,,,,,,
46,Who Do You Love,0,,,,,,
47,Close To Me (with Diplo) (feat. Swae Lee),1,,,,,,
48,Talk (feat. Disclosure),0,,,,,,
49,Lalala,0,,,,,,
50,Bang!,1,,,,,,
