,Title,Class
0,Serenity,0.0
1,Rise,3.0
2,Get It Right,3.0
3,Brand New (feat. Liz),8.0
4,Weakness,0.0
5,Let Me Down Easy,2.0
6,Too Close,2.0
7,Neverland,3.0
8,Scared to Be Lonely,4.0
9,Stranded,0.0
10,Higher,0.0
11,Lines of the Broken,2.0
12,Sunburn,4.0
13,Fading Horizon (feat. Auvic & Pipo Fernandez),2.0
14,It's Not This,4.0
15,You & I - Rusty Hook Remix,3.0
16,Dark Side,0.0
17,Bright,2.0
18,BACKBONE,0.0
19,Trndsttr (feat. M. Maggie) - Lucian Remix,4.0
20,Senses,3.0
21,Connection,2.0
22,Serial Killer,4.0
23,Sunflower - Spider-Man: Into the Spider-Verse,5.0
24,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",0.0
25,Start a Riot,5.0
26,"Familia (with Anuel Aa, feat. Bantu) - Spider-Man: Into the Spider-Verse",0.0
27,Blood / / Water,0.0
28,New Direction,0.0
29,Jind Mahi,0.0
30,Plastic,2.0
31,Inside Out,0.0
32,Invincible - Manila Killa Remix,4.0
33,show me,3.0
34,Cancer (feat. Emilia Ali),0.0
35,JUMP (feat. Nevve),3.0
36,Smooth Talkin',4.0
37,ADD,0.0
38,Stay,0.0
39,Many Words,2.0
40,One Thing - Grant Remix,4.0
41,Burn the House Down,3.0
42,Mrs Mr - Massive Vibes Remix,0.0
43,Poppy Seeds (feat. Neon Hitch),0.0
44,Genius,0.0
45,BOOM,0.0
46,One Thing,4.0
47,Wasted On You,6.0
48,Flutter,0.0
49,Keep It Up,0.0
50,JUMP (feat. Nevve),3.0
51,Homebound,2.0
52,One Thing - Grant Remix,4.0
53,My Love,0.0
54,Big,3.0
55,Feel It Still,4.0
56,Beautiful Heartbeat - Avicii Remix,3.0
57,Takeaway (feat. Lennon Stella),1.0
58,Lost Lately (pure alternative version),1.0
59,Can't Hide,4.0
60,iLoveittho,6.0
61,Mirage,0.0
62,Blame It On The Kids,9.0
63,Daggers,0.0
64,Anyway,0.0
65,Tidal Wave,2.0
66,Trampoline,9.0
67,Connery,2.0
68,I Like Me Better,2.0
69,When My Love Ends,4.0
70,SOS (feat. Aloe Blacc),0.0
71,Talk (feat. Disclosure),5.0
72,In Your Eyes,0.0
73,First Breath,4.0
74,Sunsets,2.0
75,Pretty Stranger,2.0
76,Overflow (feat. Helen Tess),3.0
77,Chasing Light,2.0
78,Havana - Remix,5.0
79,lift me from the ground,1.0
80,Audio,4.0
81,Solo,0.0
82,"Chariot (feat. Meek Mill, Lil Durk & Young Thug)",0.0
83,Free Spirit,9.0
84,Ramuloo Ramulaa - Duet,0.0
85,My Way,0.0
86,Sunsets,2.0
87,Leaving (feat. Yuna),0.0
88,Fyl,5.0
89,Weird Machine,2.0
90,graffiti,3.0
91,Lucid Dreaming,3.0
92,Snow Fire (fg. I),0.0
93,Vogue - Midas Remix,4.0
94,Despicable,5.0
95,If I Could,0.0
96,Disarm (fg. VI),5.0
97,Brandy (You're a Fine Girl),4.0
98,Radio Silence - KVMO Remix,0.0
99,Bad Liar,4.0
100,Crime (with Skott),1.0
101,I Wanna Know,2.0
102,Closer,4.0
103,Blind,0.0
104,The Edge,0.0
105,Fake,9.0
106,Lost In Japan - Remix,2.0
107,Stand Off,0.0
108,Go to Sleep (feat. Kailee Morgue) (feat. Kailee Morgue) - SYRE Remix,0.0
109,Not Too Late,5.0
110,Rooms (RØGUENETHVN Remix),5.0
111,Hollow Husk,2.0
112,Heart to Break - JUDGE Remix,0.0
113,I'm OK (feat. Shaylen) - JUDGE Remix,4.0
114,So Close,2.0
