,Title,Class
0,Leaving Caladan,2.0
1,Kiss of Death,0.0
2,"Voracity (From ""Overlord III"")",6.0
3,Gypsy,3.0
4,"Get Jinxed (From ""League of Legends"")",2.0
5,Fire and Ice (Todoroki Rap) [feat. OzzaWorld],3.0
6,Zone (Karma Rap) [feat. Shwabadi],3.0
7,Go Get Kazuma,6.0
8,UwU Metal,7.0
9,Sweet Dreams Are Made of Weebs,3.0
10,"The Whole ""Being Dead"" Thing",0.0
11,Rainbows in the Dark,0.0
12,The Engineers' Drinking Song,5.0
13,Hardstuck,3.0
14,Song of the Seven,5.0
15,Stronger Than You [Remastered] - Sans Version,6.0
16,What's the Use of Feeling (Blue)? [feat. Patti LuPone & Deedee Magno Hall],5.0
17,What Can I Do (For You) [feat. Susan Egan & Tom Scharpling],6.0
18,"Bardic Inspiration (From ""1 For All"")",5.0
19,Lose (No Game No Life),3.0
20,Queen of Faiya,3.0
21,This Is War 6,0.0
22,"This Is War 5 - This Is Wardles (feat. Falconshield, LilyPichu, Jaynee, The Yordles, Rawb, Popushi & Nicki Taylor)",0.0
23,Mediocre Rap Battle of the LEC (Summer Playoffs 2020),3.0
24,Mediocre Rap Battle of the LEC (Summer Playoffs 2021),3.0
25,Insane,4.0
26,House of Asmodeus,6.0
27,UNDERWORLD,1.0
28,"Kick Back (From ""Chainsaw Man"") - English Version",6.0
29,Memories of a Girl I Haven't Met,5.0
30,ANTI-HERO,3.0
31,Heroes in Time,4.0
32,RISE,1.0
33,Massive Addictive,6.0
34,Take Me to Church,0.0
35,The Seven Sisters,1.0
36,Unshakeable,6.0
37,So Long Sentiment,0.0
38,Ashen Of The Ending Flame,2.0
39,Rock the Night Away,4.0
40,Children of Night,1.0
41,As They Bloom,6.0
42,Death To The King,0.0
43,Lights,0.0
44,Great at Crime,6.0
45,Father,0.0
46,Kiss Goodnight,1.0
47,Cinema,3.0
48,What Makes You Beautiful,3.0
49,JoJo's Theme (Doom Version),2.0
50,Barbie Girl - Goth Metal Version,4.0
51,Upgrade (Cyberpunk: Edgerunners),3.0
52,One-Winged Angel of Death,4.0
53,Terrestrial Sacrifice of Nyazathoth,6.0
54,They Don't Care About Us (Cyberpunk),3.0
55,Blind Lead the Blind,1.0
56,Shiny,0.0
57,Smite And Ignite,0.0
58,Kingslayer,2.0
59,Blue Moon,6.0
60,Do It All The Time,3.0
61,CHOKE (with grandson & Zero 9:36),4.0
62,Destroy All,6.0
63,Dollhouse,4.0
64,End of an Empire,1.0
