,Title,Class,,,Class,Genre,Count,Percentage
0,Leaving Caladan,0,,,0,Instrumental,62,6%
1,Kiss of Death,5,,,1,Fantasy,47,5%
2,"Voracity (From ""Overlord III"")",6,,,2,Metal,229,23%
3,Gypsy,6,,,3,Vocals,72,7%
4,"Get Jinxed (From ""League of Legends"")",0,,,4,Rap,93,9%
5,Fire and Ice (Todoroki Rap) [feat. OzzaWorld],6,,,5,Alternative,182,19%
6,Zone (Karma Rap) [feat. Shwabadi],6,,,6,Otacore,184,19%
7,Go Get Kazuma,2,,,7,Pop,110,11%
8,UwU Metal,1,,,,Total,979,100%
9,Sweet Dreams Are Made of Weebs,4,,,,,,
10,"The Whole ""Being Dead"" Thing",2,,,,,,
11,Rainbows in the Dark,5,,,,,,
12,The Engineers' Drinking Song,3,,,,,,
13,Hardstuck,4,,,,,,
14,Song of the Seven,3,,,,,,
15,Stronger Than You [Remastered] - Sans Version,6,,,,,,
16,What's the Use of Feeling (Blue)? [feat. Patti LuPone & Deedee Magno Hall],3,,,,,,
17,What Can I Do (For You) [feat. Susan Egan & Tom Scharpling],3,,,,,,
18,"Bardic Inspiration (From ""1 For All"")",3,,,,,,
19,Lose (No Game No Life),4,,,,,,
20,Queen of Faiya,4,,,,,,
21,This Is War 6,2,,,,,,
22,"This Is War 5 - This Is Wardles (feat. Falconshield, LilyPichu, Jaynee, The Yordles, Rawb, Popushi & Nicki Taylor)",2,,,,,,
23,Mediocre Rap Battle of the LEC (Summer Playoffs 2020),4,,,,,,
24,Mediocre Rap Battle of the LEC (Summer Playoffs 2021),4,,,,,,
25,Insane,7,,,,,,
26,House of Asmodeus,3,,,,,,
27,UNDERWORLD,2,,,,,,
28,"Kick Back (From ""Chainsaw Man"") - English Version",6,,,,,,
29,Memories of a Girl I Haven't Met,3,,,,,,
30,ANTI-HERO,6,,,,,,
31,Heroes in Time,7,,,,,,
32,RISE,2,,,,,,
33,Massive Addictive,6,,,,,,
34,Take Me to Church,5,,,,,,
35,The Seven Sisters,2,,,,,,
36,Unshakeable,6,,,,,,
37,So Long Sentiment,7,,,,,,
38,Ashen Of The Ending Flame,0,,,,,,
39,Rock the Night Away,2,,,,,,
40,Children of Night,6,,,,,,
41,As They Bloom,6,,,,,,
42,Death To The King,2,,,,,,
43,Lights,5,,,,,,
44,Great at Crime,6,,,,,,
45,Father,5,,,,,,
46,Kiss Goodnight,2,,,,,,
47,Cinema,5,,,,,,
48,What Makes You Beautiful,6,,,,,,
49,JoJo's Theme (Doom Version),0,,,,,,
50,Barbie Girl - Goth Metal Version,7,,,,,,
51,Upgrade (Cyberpunk: Edgerunners),4,,,,,,
52,One-Winged Angel of Death,2,,,,,,
53,Terrestrial Sacrifice of Nyazathoth,6,,,,,,
54,They Don't Care About Us (Cyberpunk),4,,,,,,
55,Blind Lead the Blind,2,,,,,,
56,Shiny,2,,,,,,
57,Smite And Ignite,5,,,,,,
58,Kingslayer,0,,,,,,
59,Blue Moon,6,,,,,,
60,Do It All The Time,5,,,,,,
61,CHOKE (with grandson & Zero 9:36),7,,,,,,
62,Destroy All,6,,,,,,
63,Dollhouse,7,,,,,,
64,End of an Empire,2,,,,,,
65,A Matter of Time - Single Edit,2,,,,,,
66,Up All Night,5,,,,,,
67,Playtime,3,,,,,,
68,Wannabe,5,,,,,,
69,Hazy Skyscraper,5,,,,,,
70,dark hour,3,,,,,,
71,take the bait,4,,,,,,
72,Frame of Mind,2,,,,,,
73,Angry Too,2,,,,,,
74,Endgame,2,,,,,,
75,Pop Cult Crucifixion,5,,,,,,
76,Endgame (The Winter Cavalry Remix),2,,,,,,
77,killer queen,5,,,,,,
78,Holy Homicide,6,,,,,,
79,"wanting, getting, wanting",4,,,,,,
80,fake ass gold,5,,,,,,
81,Breakdown,2,,,,,,
82,Stick Up,7,,,,,,
83,Make ’Em Afraid,7,,,,,,
84,Deal With the Devil,6,,,,,,
85,Heavy Metal Never Dies - Remixed & Remastered,7,,,,,,
86,Stormtroopers,2,,,,,,
87,Simping For The Villain,4,,,,,,
88,Ətˈæk 0n Tάɪtn,2,,,,,,
89,DRAIN,2,,,,,,
90,Dreadnought,7,,,,,,
91,Red,2,,,,,,
92,Villain Vibes (feat. Mori Calliope),2,,,,,,
93,Bask In The Shimmer,2,,,,,,
94,Off With Their Heads,7,,,,,,
95,Beauty Of Annihilation,2,,,,,,
96,Dissolve,7,,,,,,
97,Decryption,2,,,,,,
98,Helix,2,,,,,,
99,Begging To Bleed,5,,,,,,
100,Awaken,2,,,,,,
101,Akira,2,,,,,,
102,Nightmare Weaver,1,,,,,,
103,ilomilo,3,,,,,,
104,PS5 (with TOMORROW X TOGETHER & Alan Walker),4,,,,,,
105,"Love Dramatic (From ""Kaguya-Sama: Love Is War"")",5,,,,,,
106,Killer,7,,,,,,
107,Succubus,4,,,,,,
108,I Got The Juice,5,,,,,,
109,All Eyes on You,5,,,,,,
110,Nothing To Forgive,5,,,,,,
111,My Spring Your Fall,2,,,,,,
112,Tentakill (feat. Nicki Taylor),2,,,,,,
113,Celestial,2,,,,,,
114,Angels Painted Red,5,,,,,,
115,Kingdoms Fall,2,,,,,,
116,The Call,0,,,,,,
117,Not Even Halfway Up,6,,,,,,
118,Masquerade,4,,,,,,
119,Until This City's Burning,5,,,,,,
120,Everybody Knows,2,,,,,,
121,SCREAM,2,,,,,,
122,Old Money,2,,,,,,
123,We Rise,1,,,,,,
124,Party Like Its 1920,7,,,,,,
125,Poker Face,6,,,,,,
126,Just Dance,5,,,,,,
127,Bad Romance,6,,,,,,
128,Fire Drill,3,,,,,,
129,Stasis,7,,,,,,
130,Samsara,6,,,,,,
131,Till Death Do Me Part,2,,,,,,
132,Roentgen,1,,,,,,
133,Victim of Yourself,6,,,,,,
134,Powerful,1,,,,,,
135,Feed the Machine,4,,,,,,
136,The Rumbling,7,,,,,,
137,Misty Mountains,3,,,,,,
138,All Hallows,2,,,,,,
139,Black Roses (4everfreebrony Remix),6,,,,,,
140,Let It All Burn,5,,,,,,
141,Blood (Alucard Rap),4,,,,,,
142,Crown,5,,,,,,
143,Broken,5,,,,,,
144,Red Water Dreams,6,,,,,,
145,The Rumbling,7,,,,,,
146,Gasoline,5,,,,,,
147,Long Drive,0,,,,,,
148,At Eternal's Gate,0,,,,,,
149,Skeleton,2,,,,,,
150,Teeth,7,,,,,,
151,Crack the Sky,6,,,,,,
152,L_st-_N-D_ta (Destabilize Pt. 2) [feat. Vylet],6,,,,,,
153,Addict (Pop Goes Metal Cover),6,,,,,,
154,Glitter & Gold,2,,,,,,
155,Warbringer,5,,,,,,
156,Empire of Steel,2,,,,,,
157,Midnight Madonna,5,,,,,,
158,Dead Man Walking,6,,,,,,
159,The Saint And The Sinner,2,,,,,,
160,"In Hell We Live, Lament",5,,,,,,
161,Godhunter,2,,,,,,
162,Pretty Rave Girl,2,,,,,,
163,Destroyer - Soul Extract Remix,2,,,,,,
164,Project Terraform - Entropy Zero Remix,0,,,,,,
165,No Time To Die,2,,,,,,
166,Guns for Hire (from the series Arcane League of Legends),3,,,,,,
167,Misfit Toys (from the series Arcane League of Legends),6,,,,,,
168,Playground (from the series Arcane League of Legends),2,,,,,,
169,Goodbye (from the series Arcane League of Legends),3,,,,,,
170,Snakes (from the series Arcane League of Legends),4,,,,,,
171,Dynasties and Dystopia (from the series Arcane League of Legends),6,,,,,,
172,Dirty Little Animals (from the series Arcane League of Legends),4,,,,,,
173,What Could Have Been feat. Ray Chen (from the series Arcane League of Legends),1,,,,,,
174,Get Jinxed,2,,,,,,
175,Specter,2,,,,,,
176,Kinesis,2,,,,,,
177,Centigrade,6,,,,,,
178,Christmas Truce,1,,,,,,
179,To Villains,0,,,,,,
180,Legends Never Die,2,,,,,,
181,Bene Gesserit,0,,,,,,
182,Enemy (with JID) - from the series Arcane League of Legends,4,,,,,,
183,DEVOLUTION,6,,,,,,
184,Evil Morty Theme (For The Damaged Coda) - Epic Version,0,,,,,,
185,Death Dealer,6,,,,,,
186,Carrier Signal,7,,,,,,
187,Solid State,2,,,,,,
188,Legion,6,,,,,,
189,Interstellar Skies,2,,,,,,
190,Damage Done,7,,,,,,
191,Exploit,5,,,,,,
192,"Butterfly (From ""Dance Dance Revolution"")",2,,,,,,
193,Leaving Heaven (feat. Skylar Grey),1,,,,,,
194,"Yah Yah (feat. Royce Da 5'9"", Black Thought, Q-Tip & Denaun)",4,,,,,,
195,Helios (Burn Me to the Sky),2,,,,,,
196,Villain,4,,,,,,
197,We All Lift Together,3,,,,,,
198,Stronger Than You (feat. Estelle),3,,,,,,
199,Appetite for Destruction,6,,,,,,
200,Let You In,6,,,,,,
201,MONTERO (Call Me By Your Name),4,,,,,,
202,INDUSTRY BABY (feat. Jack Harlow),5,,,,,,
203,Blood,2,,,,,,
204,Heroes out of Time,2,,,,,,
205,overwhelmed,4,,,,,,
206,Become God,0,,,,,,
207,STORY,4,,,,,,
208,Steel Commanders,2,,,,,,
209,Record Player (with AJR),4,,,,,,
210,Lightbringer - Acoustic,3,,,,,,
211,Redemption,2,,,,,,
212,Edge of Night,1,,,,,,
213,Predator,5,,,,,,
214,Lost Chapter,2,,,,,,
215,Aftershock,0,,,,,,
216,Last Stand,1,,,,,,
217,Stormrazor,2,,,,,,
218,Rockefeller Street (New Nightcore) [#Rockefellerstreet Remix],6,,,,,,
219,Toss a Coin to Your Witcher (Metal Version),2,,,,,,
220,We Don't Have To Dance,2,,,,,,
221,Little Poor Me,6,,,,,,
222,The Hex Core mk-2,0,,,,,,
223,The Hex Core,2,,,,,,
224,Infinity Edge,2,,,,,,
225,End of Me,7,,,,,,
226,Mammoth Rider,2,,,,,,
227,Mind Brand,2,,,,,,
228,Song of Jerry (And How Cool He Is),5,,,,,,
229,Boof and Brew,0,,,,,,
230,Live. Laugh. Love.,0,,,,,,
231,Protege,0,,,,,,
232,Bush Sellers,5,,,,,,
233,Bass Slut - Original Mix,4,,,,,,
234,Bury the Light (Dmc5),0,,,,,,
235,My Name Is..,4,,,,,,
236,Execution Is Fun!,6,,,,,,
