,Title,Class,,,Class,Genre,Count,Percentage
0,Leaving Caladan,2,,,0,Alternative,202,21%
1,Kiss of Death,0,,,1,Metal,154,16%
2,"Voracity (From ""Overlord III"")",6,,,2,Instrumental,42,4%
3,Gypsy,3,,,3,Rap,136,14%
4,"Get Jinxed (From ""League of Legends"")",2,,,4,Pop,124,13%
5,Fire and Ice (Todoroki Rap) [feat. OzzaWorld],3,,,5,Vocals,69,7%
6,Zone (Karma Rap) [feat. Shwabadi],3,,,6,Otacore,208,21%
7,Go Get Kazuma,6,,,7,Fantasy,44,4%
8,UwU Metal,7,,,,Total,979,100%
9,Sweet Dreams Are Made of Weebs,3,,,,,,
10,"The Whole ""Being Dead"" Thing",0,,,,,,
11,Rainbows in the Dark,0,,,,,,
12,The Engineers' Drinking Song,5,,,,,,
13,Hardstuck,3,,,,,,
14,Song of the Seven,5,,,,,,
15,Stronger Than You [Remastered] - Sans Version,6,,,,,,
16,What's the Use of Feeling (Blue)? [feat. Patti LuPone & Deedee Magno Hall],5,,,,,,
17,What Can I Do (For You) [feat. Susan Egan & Tom Scharpling],6,,,,,,
18,"Bardic Inspiration (From ""1 For All"")",5,,,,,,
19,Lose (No Game No Life),3,,,,,,
20,Queen of Faiya,3,,,,,,
21,This Is War 6,0,,,,,,
22,"This Is War 5 - This Is Wardles (feat. Falconshield, LilyPichu, Jaynee, The Yordles, Rawb, Popushi & Nicki Taylor)",0,,,,,,
23,Mediocre Rap Battle of the LEC (Summer Playoffs 2020),3,,,,,,
24,Mediocre Rap Battle of the LEC (Summer Playoffs 2021),3,,,,,,
25,Insane,4,,,,,,
26,House of Asmodeus,6,,,,,,
27,UNDERWORLD,1,,,,,,
28,"Kick Back (From ""Chainsaw Man"") - English Version",6,,,,,,
29,Memories of a Girl I Haven't Met,5,,,,,,
30,ANTI-HERO,3,,,,,,
31,Heroes in Time,4,,,,,,
32,RISE,1,,,,,,
33,Massive Addictive,6,,,,,,
34,Take Me to Church,0,,,,,,
35,The Seven Sisters,1,,,,,,
36,Unshakeable,6,,,,,,
37,So Long Sentiment,0,,,,,,
38,Ashen Of The Ending Flame,2,,,,,,
39,Rock the Night Away,4,,,,,,
40,Children of Night,1,,,,,,
41,As They Bloom,6,,,,,,
42,Death To The King,0,,,,,,
43,Lights,0,,,,,,
44,Great at Crime,6,,,,,,
45,Father,0,,,,,,
46,Kiss Goodnight,1,,,,,,
47,Cinema,3,,,,,,
